# gamma, coupling, gap qubit, gap resonator 
0.000000000000000000e+00 6.648252711613460967e-16 5.960368388541859019e-03 4.472135954999579416e-02
2.000000000000000111e-01 2.436241966510851293e-04 4.075452939205970182e-03 4.472135954999579416e-02
4.000000000000000222e-01 3.367043173272478191e-04 2.943497821934482062e-03 4.472135954999579416e-02
6.000000000000000888e-01 3.647579594220034908e-04 2.218858589898564659e-03 4.472135954999579416e-02
8.000000000000000444e-01 3.624235212324115711e-04 1.730956351171153429e-03 4.472135954999579416e-02
1.000000000000000000e+00 3.489222324904788994e-04 1.388733170519129700e-03 4.472135954999579416e-02
1.200000000000000178e+00 3.310683722105019038e-04 1.140433395533824168e-03 4.472135954999579416e-02
1.400000000000000133e+00 3.073857589811548061e-04 9.550859329601202319e-04 4.472135954999579416e-02
1.600000000000000089e+00 2.878040751675777940e-04 8.133413318784921131e-04 4.472135954999579416e-02
1.800000000000000044e+00 2.682138188510212792e-04 7.026598419588303557e-04 4.472135954999579416e-02
