DesignVariation : bigCavity_x='25mm' bigCavity_y='10.5mm' bigCavity_z='1.5799999999999998mm' bigCavity_z0='8mm' bottom_z='9.5800000000000001mm' Cavity_Cap_Z='1.8999999999999999mm' cavityFeedMiddle_x='4mm' cavityFeedMiddle_y='6.0999999999999996mm' cavityFeedMiddle_z='3mm' cavityFeedMiddle_z0='5mm' cavityThrough_y='2mm' chip_dist='50um' coax_z0='7.5482500000000003mm' coaxCenter_h='2.2000000000000006mm' coaxCenter_r='0.14349999999999999mm' coaxCut_y='1mm' coaxIso_r='0.46999999999999997mm' coaxOuter_r='0.59499999999999997mm' coaxPos_x='6.5mm' coaxPos_y='5.25mm' coaxRecess_h='2.2000000000000006mm' coaxRecess_r='0.59499999999999997mm' Meshbox_big__length_var='100um' Meshbox_small__length_var='100um' stageRecess1_x='2.2000000000000002cm' stageRecess1_y='3.1000000000000001mm' stageRecess1_z='330um' stageRecess1_z0='7.6699999999999999mm' stageRecess2_x='6.0999999999999996mm' stageRecess2_y='6.0999999999999996mm' stageRecess2_z='710um' stageRecess2_z0='7.29mm' stageRecess3_x='25mm' stageRecess3_y='2.2000000000000006mm' stageRecess3_z='380.00000000000006um' stageRecess3_z0='7.6200000000000001mm' substrate_z='330um' total_x='25mm' total_y='10.5mm' wall_z='2.29mm' Z_Move_to_Origin='5mm'
Solution : Analysis2_0p2 : LastAdaptive
Parameter : Matrix_all
Capacitance Unit: pF

Capacitance
		bG1__Arm1__ex	bG1__Arm2__ex	bG1__phi1__ex	bG1__phi2__ex	bG1__phi3__ex	bG1__phi4__ex	qR7__Arm1__ex	qR7__Arm2__ex	qR7__phi1__ex	qR7__phi2__ex	qR7__phi3__ex	qR7__phi4__ex	qS16__Arm1__ex	qS16__Arm2__ex	qS16__phi1__ex	qS16__phi2__ex	qS16__phi3__ex	qS16__phi4__ex	bG1__Bondpad__ex	bG1__FBL__ex	bG1__Purcell__ex	Box__ex	qR7__BondPad__ex	qR7__Purcell__ex	qS16__Bondpad__ex	qS16__Purcell__ex
	qR7__phi3__ex	-9.2366E-11	-2.5854E-08	-1.6152E-11	-2.2655E-11	-1.1461E-12	-3.3371E-11	-0.0001379	-0.00013263	-0.0001951	-0.00015651	0.0012039	-0.00054464	-2.4864E-16	-2.3775E-13	-4.4566E-17	-5.7591E-17	-9.4043E-19	-3.1451E-16	-3.0124E-10	-1.1008E-09	-4.5258E-10	-3.386E-05	-1.2178E-07	-3.144E-06	-1.8229E-19	-4.8888E-18
	qR7__phi4__ex	-1.3644E-08	-3.8118E-06	-2.3835E-09	-3.3426E-09	-1.692E-10	-4.9274E-09	-0.015273	-0.015301	-0.0079038	-0.0076477	-0.00054464	0.060092	-3.6757E-14	-3.5147E-11	-6.5882E-15	-8.5138E-15	-1.3903E-16	-4.6495E-14	-4.4582E-08	-1.6178E-07	-6.6941E-08	-0.0050124	-0.00014478	-0.0082601	-2.6949E-17	-7.2272E-16
	qS16__Arm1__ex	-3.4258E-06	-1.013E-08	-2.5773E-09	-1.7897E-09	-1.3152E-10	-3.793E-09	-3.183E-11	-3.2452E-14	-7.7419E-15	-5.753E-15	-2.4864E-16	-3.6757E-14	0.10814	-0.010963	-0.014522	-0.0027745	-5.7961E-05	-0.016438	-3.7783E-08	-1.3649E-07	-5.5272E-08	-0.06314	-2.6269E-17	-7.279E-16	-8.8593E-06	-0.00023262
	qS16__Arm2__ex	-0.0081369	-9.6837E-06	-2.4629E-06	-1.7105E-06	-1.2567E-07	-3.6242E-06	-3.0435E-08	-3.103E-11	-7.4026E-12	-5.5009E-12	-2.3775E-13	-3.5147E-11	-0.010963	0.11634	-0.0028483	-0.014633	-6.8331E-05	-0.016421	-3.6162E-05	-0.00013094	-5.2849E-05	-0.062795	-2.5118E-14	-6.9601E-13	-8.7957E-06	-0.00023233
	qS16__phi1__ex	-6.154E-07	-1.8167E-09	-4.6271E-10	-3.2127E-10	-2.3598E-11	-6.8051E-10	-5.705E-12	-5.8166E-15	-1.3876E-15	-1.0311E-15	-4.4566E-17	-6.5882E-15	-0.014522	-0.0028483	0.029629	-0.003138	-5.8232E-05	-0.0081152	-6.7657E-09	-2.4592E-08	-9.9017E-09	-0.00089797	-4.7082E-18	-1.3046E-16	-1.8615E-06	-4.7342E-05
	qS16__phi2__ex	-7.9547E-07	-2.3478E-09	-5.9807E-10	-4.1524E-10	-3.05E-11	-8.7951E-10	-7.3725E-12	-7.5167E-15	-1.7932E-15	-1.3325E-15	-5.7591E-17	-8.5138E-15	-0.0027745	-0.014633	-0.003138	0.029625	-7.659E-05	-0.0080724	-8.7422E-09	-3.1799E-08	-1.2795E-08	-0.00088154	-6.0844E-18	-1.686E-16	-1.8104E-06	-4.6193E-05
	qS16__phi3__ex	-1.2975E-08	-3.8327E-11	-9.7579E-12	-6.7754E-12	-4.9776E-13	-1.4355E-11	-1.2039E-13	-1.2274E-16	-2.9282E-17	-2.1759E-17	-9.4043E-19	-1.3903E-16	-5.7961E-05	-6.8331E-05	-5.8232E-05	-7.659E-05	0.00057555	-0.00029732	-1.4282E-10	-5.179E-10	-2.0899E-10	-1.5653E-05	-9.9354E-20	-2.7531E-18	-5.5308E-08	-1.3884E-06
	qS16__phi4__ex	-4.3298E-06	-1.281E-08	-3.2581E-09	-2.2626E-09	-1.6629E-10	-4.7961E-09	-4.0262E-11	-4.105E-14	-9.7928E-15	-7.277E-15	-3.1451E-16	-4.6495E-14	-0.016438	-0.016421	-0.0081152	-0.0080724	-0.00029732	0.063299	-4.7809E-08	-1.7233E-07	-6.9927E-08	-0.0054091	-3.3228E-17	-9.2073E-16	-0.00014529	-0.008396
	bG1__Bondpad__ex	-0.0066265	-0.0062264	-0.00021118	-0.00021051	-1.4667E-05	-0.00044034	-3.8565E-05	-3.9346E-08	-9.374E-09	-6.9668E-09	-3.0124E-10	-4.4582E-08	-3.7783E-08	-3.6162E-05	-6.7657E-09	-8.7422E-09	-1.4282E-10	-4.7809E-08	0.27787	-0.0028152	-0.089598	-0.17165	-3.1869E-11	-8.8314E-10	-2.7714E-11	-7.4329E-10
	bG1__FBL__ex	-0.034824	-0.03207	-0.0028841	-0.0028306	-0.00011519	-0.0029005	-0.00014065	-1.431E-07	-3.4377E-08	-2.5526E-08	-1.1008E-09	-1.6178E-07	-1.3649E-07	-0.00013094	-2.4592E-08	-3.1799E-08	-5.179E-10	-1.7233E-07	-0.0028152	0.087929	-0.0091917	-2.5557E-05	-1.1545E-10	-3.1981E-09	-9.9796E-11	-2.6759E-09
